TrialID,TaskID,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,a
1,Training,OnTask,-0.4364737,1.613981,-0.9548223,a
1,Training,OnTask,-0.4358579,1.613896,-0.9550809,a
1,Training,OnTask,-0.4354949,1.613588,-0.9554117,a
1,Training,OnTask,-0.4368553,1.611116,-0.9529928,a
1,Training,OnTask,-0.438936,1.60472,-0.9489013,a
1,Training,OnTask,-0.44313,1.597024,-0.9446917,a
1,Training,OnTask,-0.4459321,1.595005,-0.9455819,a
1,Training,OnTask,-0.4456062,1.603442,-0.9531056,a
1,Training,OnTask,-0.4439008,1.61114,-0.964092,a
1,Training,OnTask,-0.4438356,1.613892,-0.9705352,a
1,Training,OnTask,-0.44293,1.613801,-0.9712403,a
1,Training,OnTask,-0.4407838,1.613818,-0.9706024,a
1,Training,OnTask,-0.435172,1.614453,-0.9707563,a
1,Training,OnTask,-0.430122,1.615083,-0.970564,a
1,Training,OnTask,-0.4269865,1.615606,-0.9692702,a
1,Training,OnTask,-0.4259279,1.615327,-0.9656254,a
1,Training,OnTask,-0.4261138,1.614879,-0.9618661,a
1,Training,OnTask,-0.4283863,1.615116,-0.9569808,a
1,Training,OnTask,-0.4321389,1.614967,-0.9504029,a
1,Training,OnTask,-0.4356533,1.613346,-0.9432517,a
1,Training,OnTask,-0.4402224,1.602988,-0.9325652,a
1,Training,OnTask,-0.4513889,1.579522,-0.9122194,a
1,Training,OnTask,-0.4690563,1.562631,-0.8975527,a
1,Training,OnTask,-0.4877695,1.560675,-0.8889749,a
1,Training,OnTask,-0.5096006,1.557486,-0.8787147,a
1,Training,OnTask,-0.5266421,1.556554,-0.8696024,a
1,Training,OnTask,-0.5367025,1.556427,-0.8616383,a
1,Training,OnTask,-0.53978,1.556347,-0.854311,a
1,Training,OnTask,-0.5448278,1.557555,-0.8520128,a
1,Training,OnTask,-0.5518858,1.56133,-0.852093,a
1,Training,OnTask,-0.5614317,1.564345,-0.8521399,a
1,Training,OnTask,-0.5675601,1.564451,-0.8510979,a
1,Training,OnTask,-0.5644374,1.564083,-0.8488177,a
1,Training,OnTask,-0.5577735,1.563721,-0.849502,a
1,Training,OnTask,-0.5566821,1.564026,-0.8478562,a
1,Training,OnTask,-0.5582221,1.562446,-0.8371266,a
1,Training,OnTask,-0.5567564,1.560375,-0.826497,a
1,Training,OnTask,-0.5421232,1.557179,-0.8208009,a
1,Training,OnTask,-0.5012081,1.552394,-0.8209058,a
1,Training,OnTask,-0.4453834,1.546859,-0.8420986,a
1,Training,OnTask,-0.4241292,1.545783,-0.8602535,a
1,Training,OnTask,-0.4177688,1.547952,-0.8717269,a
1,Training,OnTask,-0.4148236,1.551769,-0.8809886,a
1,Training,OnTask,-0.4110068,1.558177,-0.8866911,a
1,Training,OnTask,-0.400464,1.565565,-0.8961212,a
1,Training,OnTask,-0.3862895,1.566283,-0.9035302,a
1,Training,OnTask,-0.3766869,1.566186,-0.9028051,a
1,Training,OnTask,-0.3695341,1.569482,-0.8993509,a
1,Training,OnTask,-0.363947,1.574744,-0.8967873,a
1,Training,OnTask,-0.3575523,1.575389,-0.8924,a
1,Training,OnTask,-0.3522855,1.574602,-0.8847704,a
1,Training,OnTask,-0.3464026,1.57601,-0.8735573,a
1,Training,OnTask,-0.3402158,1.577375,-0.861062,a
1,Training,OnTask,-0.3317207,1.579626,-0.8511429,a
1,Training,OnTask,-0.3178201,1.581673,-0.8388543,a
1,Training,OnTask,-0.3107507,1.578748,-0.8160611,a
1,Training,OnTask,-0.3125735,1.576442,-0.78136,a
1,Training,OnTask,-0.3240492,1.573895,-0.7356634,a
1,Training,OnTask,-0.338203,1.578162,-0.6867415,a
1,Training,OnTask,-0.3417368,1.571419,-0.6445259,a
1,Training,OnTask,-0.3248951,1.568284,-0.6109715,a
1,Training,OnTask,-0.2956558,1.558558,-0.5911207,a
1,Training,OnTask,-0.2515866,1.527616,-0.5731493,a
1,Training,OnTask,-0.1727426,1.494416,-0.5522137,a
1,Training,OnTask,-0.06733964,1.500706,-0.5351124,a
1,Training,OnTask,0.0511019,1.532926,-0.5180644,a
1,Training,OnTask,0.1562758,1.561093,-0.49753,a
1,Training,OnTask,0.2273218,1.566121,-0.4608852,a
1,Training,OnTask,0.2954172,1.552398,-0.4163275,a
1,Training,OnTask,0.3712477,1.528592,-0.3582783,a
1,Training,OnTask,0.4438004,1.527143,-0.2912214,a
1,Training,OnTask,0.5177312,1.536353,-0.2396006,a
1,Training,OnTask,0.6044376,1.556,-0.2067425,a
1,Training,OnTask,0.6864433,1.555471,-0.1834294,a
1,Training,OnTask,0.7690266,1.538995,-0.1640435,a
1,Training,OnTask,0.8830408,1.522108,-0.1446752,a
1,Training,OnTask,0.994423,1.522156,-0.1329216,a
1,Training,OnTask,1.076868,1.54185,-0.1261778,a
1,Training,OnTask,1.141769,1.55728,-0.1159227,a
1,Training,OnTask,1.183704,1.553867,-0.1048176,a
1,Training,OnTask,1.204624,1.557965,-0.09241298,a
1,Training,OnTask,1.228395,1.554385,-0.08219627,a
1,Training,OnTask,1.25918,1.550918,-0.08464354,a
1,Training,OnTask,1.286448,1.544698,-0.08660106,a
1,Training,OnTask,1.30365,1.55764,-0.08645845,a
1,Training,OnTask,1.309919,1.555175,-0.08411956,a
1,Training,OnTask,1.305288,1.555271,-0.08362351,a
1,Training,OnTask,1.284171,1.554862,-0.08617984,a
1,Training,OnTask,1.256598,1.5536,-0.08861969,a
1,Training,OnTask,1.230064,1.558432,-0.08919507,a
1,Training,OnTask,1.206141,1.559527,-0.08825786,a
1,Training,OnTask,1.185194,1.558021,-0.08818604,a
1,Training,OnTask,1.159783,1.555776,-0.0890255,a
1,Training,OnTask,1.137131,1.553567,-0.09169111,a
1,Training,OnTask,1.126474,1.557225,-0.09659781,a
1,Training,OnTask,1.123578,1.560426,-0.102022,a
1,Training,OnTask,1.129455,1.563496,-0.1055446,a
1,Training,OnTask,1.140624,1.562752,-0.1061916,a
1,Training,OnTask,1.151678,1.561703,-0.1059002,a
1,Training,OnTask,1.165467,1.559852,-0.1058777,a
